almacen,codigo,producto,categoria,unidad,saldo,saldo_fisico,por_ingresar,transito,salida_espera,reservas,saldo_virtual
LIM/Existencias,0205025,Tubo CUAD 38X1.8mX6.0m LAC PR,Cuadrado,Unit(s),0,0,2058.000,0,0,0,2058.000
LIM/Existencias,0205026,Tubo RECT 50X25X2.0mX6.0m LAC PR,Rectangular,Unit(s),0,0,800.000,0,0,0,800.000
LIM/Existencias,0205027,Tubo CUAD 75X2.0mX6.0m LAC PR,Cuadrado,Unit(s),0,0,600.000,0,0,0,600.000
LIM/Existencias,0205028,Tubo CUAD 75X2.5mX6.0m LAC PR,Cuadrado,Unit(s),0,0,80.000,0,0,0,80.000
LIM/Existencias,0205029,Tubo CUAD 75X3.0mX6.0m LAC PR,Cuadrado,Unit(s),0,0,80.000,0,0,0,80.000
LIM/Existencias,0205030,Tubo CUAD 100X2.0mX6.0m LAC PR,Cuadrado,Unit(s),0,0,1536.000,0,0,0,1536.000
LIM/Existencias,0205031,Tubo CUAD 100X2.5mX6.0m LAC PR,Cuadrado,Unit(s),0,0,144.000,0,0,0,144.000
LIM/Existencias,0205033,Tubo RECT 40X60X2.0mX6.0m LAC PR,Rectangular,Unit(s),0,0,980.000,0,0,0,980.000
LIM/Existencias,0205034,Tubo RECT 100X50X1.8mX6.0m PR,Rectangular,Unit(s),0,0,1848.000,0,0,0,1848.000
LIM/Existencias,0205035,Tubo RECT 100X50X2.0mX6.0m PR,Rectangular,Unit(s),0,0,1824.000,0,0,0,1824.000
LIM/Existencias,0205036,Tubo RECT 100X50X2.5mX6.0m PR,Rectangular,Unit(s),0,0,840.000,0,0,0,840.000
LIM/Existencias,0205037,Tubo RECT 100X50X3.0mX6.0m PR,Rectangular,Unit(s),0,0,96.000,0,0,0,96.000
LIM/Existencias,0202115,"Tubo CUAD 2""X1.5mX6.0m LAC",Cuadrado,Unit(s),0,0,520.000,0,0,0,520.000
LIM/Existencias,0203081,Tubo RECT 150X50X4.0mX6.0m LAC,Rectangular,Unit(s),0,0,32.000,0,0,0,32.000
LIM/Existencias,0203086,Tubo RECT 200X100X3.0mX6.0m,Rectangular,Unit(s),0,0,84.000,0,0,0,84.000
LIM/Existencias,0203088,"Tubo RECT 6""X4""X3.0mX6.0m",Rectangular,Unit(s),0,0,6.000,0,0,0,6.000
